Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Açailândia;2100055;açailandense;ALUÍSIO SILVA SOUSA;5805.159;106550;18.35;97.7;0.672;15.29;542919732.04;515857471.1;33649.84
Afonso Cunha;2100105;afonsense;ARQUIMEDES AMÉRICO BACELAR;371.338;6144;16.55;96.6;0.529;9.01;58588415.9;51695385.33;12828.8
Água Doce do Maranhão;2100154;aguadocense;THALITA E SILVA CARVALHO DIAS;442.292;12142;27.45;98.3;0.5;12.42;62265245.26;58115290.36;7986.15
Alcântara;2100204;alcantarense;WILLIAM GUIMARAES DA SILVA;1167.964;18467;15.81;96.8;0.573;34.88;75533677.59;78778731.4;6725
Aldeias Altas;2100303;aldeiasaltense;KEDSON ARAUJO LIMA;1942.121;23286;11.99;94.9;0.513;5.52;139830910.77;136552696.4;9246.08
Altamira do Maranhão;2100402;altamirense;ILEILDA MORAIS DA SILVA CUTRIM;524.374;6447;12.29;91.5;0.549;17.86;42596945.86;41109286.06;8669.76
Alto Alegre do Maranhão;2100436;altoalegrense;NILSILENE SANTANA RIBEIRO ALMEIDA;392.75;24048;61.23;95.5;0.554;17.95;98637518.21;96440480.25;10801.55
Alto Alegre do Pindaré;2100477;altoalegrense;FRANCISCO DANTAS RIBEIRO FILHO;1875.901;25710;13.71;96.7;0.558;10.66;172801155.26;177404029.2;7876.42
Alto Parnaíba;2100501;altoparnaibano;ITAMAR NUNES VIEIRA;11127.384;11109;1;95.1;0.633;11.9;63711620.5;58156405.19;51543.79
Amapá do Maranhão;2100550;amapaense;NELENE DA COSTA GOMES;502.402;7170;14.27;98;0.52;11.24;52254801.99;45328038.72;9963.57
Amarante do Maranhão;2100600;amarantino;VANDERLY GOMES MIRANDA;7439.615;37085;4.98;95.1;0.555;12.71;159172886.84;154604643.2;9250.86
Anajatuba;2100709;anajatubense;HELDER LOPES ARAGÃO;940.489;25322;26.92;96.1;0.581;28.78;135810561.47;124737653.2;7642.36
Anapurus;2100808;anapuruense;VANDERLY DE SOUSA DO NASCIMENTO MONTELES;608.903;13793;22.65;98;0.581;17.39;85109726.78;77849453.7;9289.48
ApicumAçu;2100832;apicumaçuense;JOSÉ DE RIBAMAR RIBEIRO;341.12;17519;51.36;96.8;0.568;12.35;77249892.17;75144965.12;7620.23
Araguanã;2100873;araguanaense;FLÁVIO RONNE AMORIM MUNIZ;805.194;11181;13.89;96.3;0.533;6.94;75837510.47;75018430.61;6491.48
Araioses;2100907;araiosense;LUCIANA MARÃO FELIX;1789.73;39052;21.82;96.8;0.521;22.49;156804560.58;127429859.8;6005.38
Arame;2100956;aramense;PEDRO FERNANDES RIBEIRO;2976.039;25517;8.57;89.8;0.512;18.83;110440925.7;102374022.5;8845.77
Arari;2101004;arariense;RUI FERNANDES RIBEIRO FILHO;1100.275;29472;26.79;99;0.626;2.95;144305268.81;136446901.2;10438.57
Axixá;2101103;axixaense;MARIA SONIA OLIVEIRA CAMPOS;160.462;11790;73.48;98.5;0.641;19.61;53502187.85;52343763.87;7964.97
Bacabal;2101202;bacabalense;EDVAN BRANDAO DE FARIAS;1656.736;103711;62.6;97.2;0.651;10.75;423184160.39;443021251.5;14412.91
Bacabeira;2101251;bacabeirense;CARLA FERNANDA DO REGO GONCALO;542.962;16966;31.25;98.4;0.629;8.33;98981862.2;92737120.56;34352.98
Bacuri;2101301;bacuriense;WASHINGTON LUIS DE OLIVEIRA;850.491;16290;19.15;97.8;0.578;14.71;81725751.17;85491890.45;6563.37
Bacurituba;2101350;bacuritubense;LETICIA LIBIA BARROS COSTA;413.651;5252;12.7;98.8;0.537;18.87;32209289.2;30758367.75;6952.32
Balsas;2101400;balsense;ERIK AUGUSTO COSTA E SILVA;13141.162;101767;7.74;94.4;0.687;12.5;510170334.44;466206344.3;65059.77
Barão de Grajaú;2101509;baronense;CLAUDIMÊ ARAUJO LIMA;2209.414;18984;8.59;95.8;0.592;11.86;80722695.5;82404548.78;14115.69
Barra do Corda;2101608;barracordense;RIGO ALBERTO TELIS DE SOUSA;5187.673;84532;16.29;95.8;0.606;16.68;320073079.82;343867761.7;10004.24
Barreirinhas;2101707;barreirinhense;AMÍLCAR GONÇALVES ROCHA;3046.308;65589;21.53;96;0.57;13.37;278161826.08;267126572.8;9951.26
Belágua;2101731;belaguaense;HERLON COSTA LIMA;569.606;8460;14.85;95.9;0.512;25.16;69741076.77;69523889.23;8006.04
Bela Vista do Maranhão;2101772;belavistense;JOSE AUGUSTO SOUSA VELOSO FILHO;147.954;11750;79.42;98.5;0.554;18.87;80177673.14;79019027.1;9480.51
Benedito Leite;2101806;beneleitense;RAMON CARVALHO DE BARROS;1784.64;5469;3.06;97.5;0.546;33.9;31306851.17;28219055.03;12965.11
Bequimão;2101905;bequimãoense;JOAO BATISTA MARTINS;790.222;19584;24.78;95.7;0.601;22.94;74252383.02;70267541.6;6480.26
Bernardo do Mearim;2101939;bernardense;ARLINDO DE MOURA XAVIER JUNIOR;247.186;5840;23.63;98.2;0.604;;49702941.5;51121284.5;17228.18
Boa Vista do Gurupi;2101970;boavistense;DILCILENE GUIMARAES DE MELO OLIVEIRA;400.35;7574;18.92;97.7;0.545;;49476963.1;49002184.41;7953.1
Bom Jardim;2102002;bom jardinense;CHRISTIANNE DE ARAÚJO VARÃO;6588.38;33100;5.02;96.8;0.538;21.58;182924252.22;185239355.7;9793.62
Bom Jesus das Selvas;2102036;bomjesuense;LUIS FERNANDO LOPES COELHO;2676.98;28599;10.68;88.7;0.558;15.42;151163457.67;157937313.5;10706.25
Bom Lugar;2102077;bomlugarense;MARLENE SILVA MIRANDA;445.171;12212;27.43;94.3;0.562;7.81;71785455.07;66163273.73;7116.84
Brejo;2102101;brejense;JOSÉ FARIAS DE CASTRO;1073.258;34120;31.79;96;0.562;16.56;155399320.25;154269535.3;8907.79
Brejo de Areia;2102150;brejareiense;FRANCISCO ALVES DA SILVA;986.036;9218;9.35;94;0.519;16.53;40148032.58;43126410.6;8040.01
Buriti;2102200;buritiense;JOSÉ ARNALDO ARAUJO CARDOSO;1475.779;29685;20.11;99.1;0.548;22;128296398.07;133349270.9;9613.88
Buriti Bravo;2102309;buritibravense;LUCIANA BORGES LEOCADIO;1582.552;22455;14.19;97.3;0.59;16.34;98743041.11;94320629;9949.14
Buriticupu;2102325;buriticupuense;JOAO CARLOS TEIXEIRA DA SILVA;2544.857;55499;21.81;96.1;0.556;13.42;311300131.76;295838343;10165.53
Buritirana;2102358;buritiranense;TONISLEY DOS SANTOS SOUSA;820.968;12918;15.74;98;0.583;43.96;64555981;60148814.44;7901.52
Cachoeira Grande;2102374;cachoeirense;RAIMUNDO CESAR CASTRO DE SOUSA;707.236;9732;13.76;92.9;0.537;16;51268667.99;49040960.09;6404.03
Cajapió;2102408;cajapioense;MARCONE PINHEIRO MARQUES;545.244;10121;18.56;97.2;0.553;24.59;43836177.98;40090468.44;6279.23
Cajari;2102507;cajariense;MARIA FELIX RODRIGUES DOS SANTOS;662.066;16412;24.79;96.4;0.523;29.7;83426575.65;74354272.64;6562.71
Campestre do Maranhão;2102556;campestrino;FERNANDO OLIVEIRA DA SILVA;613.529;12301;20.05;97.8;0.652;10.42;67419551.9;60190984.59;14730.8
Cândido Mendes;2102606;cândidomendense;JOSE BONIFÁCIO ROCHA DE JESUS;1634.861;19932;12.19;96.5;0.561;22.22;121677023.1;112763646.5;7205.58
Cantanhede;2102705;cantanhedense;JOSÉ MARTINHO DOS SANTOS BARROS;773.01;24303;31.44;91.6;0.565;13.7;116610465.43;124044147;6900.34
Capinzal do Norte;2102754;capinzalense;ANDRE PEREIRA DA SILVA;590.267;11374;19.27;94.1;0.537;23.44;66252252.89;71189531.29;25967.91
Carolina;2102804;carolinense;ERIVELTON TEIXEIRA NEVES;6267.675;24062;3.84;95.1;0.634;19.17;118434456.38;124217802.9;21777.14
Carutapera;2102903;carutaperense;AIRTON MARQUES SILVA;1260.977;24238;19.22;98.2;0.574;10.03;98954262.21;94286836.39;8385.15
Caxias;2103000;caxiense;FABIO JOSE GENTIL PEREIRA ROSA;5201.927;156973;30.18;95.2;0.624;16.42;682385144.26;714191174.9;12716.38
Cedral;2103109;cedralense;FERNANDO GABRIEL AMORIM CUBA;285.211;10208;35.79;97.9;0.605;18.02;46837871.64;44841745.56;7338.43
Central do Maranhão;2103125;centralense;CLEUDILENE GONÇALVES PRIVADO BARBOSA;319.538;7094;22.2;97.8;0.585;18.52;42545047.56;39315671.77;6627.67
Centro do Guilherme;2103158;centroguilhermense;JOSE SOARES DE LIMA;1167.848;12342;10.57;91.6;0.542;4.69;95558522.9;85991322.69;7477.72
Centro Novo do Maranhão;2103174;centronovense;JOEDSON ALMEIDA DOS SANTOS;8401.003;16267;1.94;87.7;0.518;17.54;93867871.04;93203066.93;9104.32
Chapadinha;2103208;chapadinhense;MARIA DUCILENE PONTES CORDEIRO;3247.385;81386;25.06;92.6;0.604;14.22;347440477.48;343475901.6;11083.69
Cidelândia;2103257;cidelandense;FERNANDO AUGUSTO COELHO TEIXEIRA;1462.809;12878;8.8;98.9;0.6;45.16;107068024.91;101886227.2;12358.65
Codó;2103307;codoense;JOSE FRANCISCO LIMA NERES;4361.606;114275;26.2;97.1;0.595;12.05;408151193.89;419348870.4;13364.78
Coelho Neto;2103406;coelhonetense;BRUNO JOSÉ ALMEIDA E SILVA;977.079;41658;42.64;96.5;0.564;16.39;210650180.34;220000750.8;9291.68
Colinas;2103505;colinense;VALMIRA MIRANDA DA SILVA BARROSO;1978.695;40316;20.38;97.2;0.596;25.19;174567167.7;173115851.2;13349.73
Conceição do LagoAçu;2103554;lagoaçuense;DIVINO ALEXANDRE DE LIMA;725.664;14915;20.55;97.3;0.512;20;76256818.8;79587555.85;8891.36
Coroatá;2103604;coroataense;LUIS MENDES FERREIRA FILHO;2263.692;59566;26.31;95.9;0.576;10.58;217641223.67;238773697.2;8111.96
Cururupu;2103703;cururupuense;ALDO LUIS BORGES LOPES;1257.608;31558;25.09;96.8;0.612;9.2;117888600.62;124466378.8;8126.4
Davinópolis;2103752;davinopolitano;RAIMUNDO NONATO DE ALMEIDA DOS SANTOS;332.249;14404;43.35;98.7;0.607;9.09;83432526.6;66968435.2;14720.3
Dom Pedro;2103802;dompedrense;AILTON MOTA DOS SANTOS;358.493;23053;64.31;96.5;0.622;20.83;80271085.56;77551379.88;11224.99
Duque Bacelar;2103901;bacelarense;FRANCISCO FLÁVIO LIMA FURTADO;317.494;10223;32.2;95.8;0.533;12.2;74448844.36;71133239.12;7591.12
Esperantinópolis;2104008;esperantinopense;ALUISIO CARNEIRO FILHO;452.411;18311;40.47;97.2;0.586;11.67;89778147.94;82080419.34;9369.44
Estreito;2104057;estreitense;LEOARREN TULIO DE SOUSA CUNHA;2720.266;33294;12.24;93.4;0.659;18.56;197807217.34;164983401.6;26423.96
Feira Nova do Maranhão;2104073;novafeirense;LUIZA COUTINHO MACEDO;1625.822;8048;4.95;94.9;0.532;9.09;42428385.8;39100077.54;13874.85
Fernando Falcão;2104081;fernandense;RAIMUNDA DA SILVA ALMEIDA;5086.589;10873;2.14;91.3;0.443;26.2;65079146;56229667.34;9511.64
Formosa da Serra Negra;2104099;formosense;CIRINEU RODRIGUES COSTA;3690.61;17719;4.8;95;0.556;20.58;92677923.17;87270786.06;10408.29
Fortaleza dos Nogueiras;2104107;fortalezense;LUIZ NATAN COELHO DOS SANTOS;1853.406;12640;6.82;97.6;0.616;14.29;57493638.54;56108591.55;27382.7
Fortuna;2104206;fortunense;SEBASTIÃO PEREIRA DA COSTA NETO;834.83;16976;20.33;97.3;0.58;8.23;81503848.02;83585838.91;8046.3
Godofredo Viana;2104305;godofredense;SHIRLEY VIANA MOTA;720.129;10186;14.14;96.9;0.604;29.63;111960372.32;102385209.9;219655.83
Gonçalves Dias;2104404;gonçalvino;ANTONIO SOARES DE SENA;883.588;17206;19.47;96.9;0.568;10;75848486.01;86191219.46;8360.04
Governador Archer;2104503;archense;ANTÔNIA LEIDE FERREIRA DA SILVA OLIVEIRA;445.856;10231;22.95;96.6;0.565;14.93;51346889.58;51258356.05;8409.54
Governador Edison Lobão;2104552;edisonlobense;GERALDO EVANDRO BRAGA DE SOUSA;615.957;18411;29.89;97.6;0.629;23.89;85735171.93;86095985.77;20012.29
Governador Eugênio Barros;2104602;eugeniobarrense;FRANCISCO CARNEIRO RIBEIRO;647.989;13930;21.5;98.5;0.572;12.88;69628044.34;67247935.33;8056.04
Governador Luiz Rocha;2104628;luizrochense;JOSE ORLANILDO SOARES DE OLIVEIRA;401.587;7063;17.59;98.6;0.544;;38994280.03;42983279.87;9024.42
Governador Newton Bello;2104651;newtonbelense;ROBERTO SILVA ARAUJO;1144.146;10713;9.36;95.2;0.521;14.6;59553451.39;58881735.37;8318.48
Governador Nunes Freire;2104677;nunesfreirense;JOSIMAR ALVES DE OLIVEIRA;1037.13;23128;22.3;96.3;0.569;15.54;131184125.66;129812863.7;10117.49
Graça Aranha;2104701;graçaranhense;UBIRAJARA RAYOL SOARES;271.445;6023;22.19;97.3;0.57;;32531532.96;29251146.91;8651.28
Grajaú;2104800;grajauense;MERCIAL LIMA DE ARRUDA;8861.717;73872;8.34;96.3;0.609;20.88;301177590.22;302671170.6;16265.45
Guimarães;2104909;vimaranense;OSVALDO LUIS GOMES;478.857;10290;21.49;93.8;0.625;;50175545.21;55131823.09;7806.63
Humberto de Campos;2105005;humbertoense;LUIS FERNANDO SILVA DOS SANTOS;1714.625;25680;14.98;97;0.535;20.41;130287259.07;116489512.3;6327.78
Icatu;2105104;icatuense;WALACE AZEVEDO MENDES;1124.445;24794;22.05;94.9;0.546;9.15;110158551.75;106154950.9;6526.37
Igarapé do Meio;2105153;igarapeense;JOSE ALMEIDA DE SOUSA;368.685;13974;37.9;96.6;0.569;7.91;104820436.39;98707450.94;25617.96
Igarapé Grande;2105203;igarapégrandense;ERLANIO FURTADO LUNA XAVIER;346.218;10231;29.55;98.7;0.614;12.12;64475605.75;60328598.27;10281.52
Imperatriz;2105302;imperatrizense;FRANCISCO DE ASSIS ANDRADE RAMOS;1369.039;273110;199.49;98.4;0.731;14.36;1105937009.48;1154928621;29592.7
Itaipava do Grajaú;2105351;itaipavense;JOVALDO CARDOSO OLIVEIRA JUNIOR;1244.398;13828;11.11;97;0.518;4.27;67037106.97;69363038.51;6641.29
Itapecuru Mirim;2105401;itapecuruense;BENEDITO DE JESUS NASCIMENTO NETO;1480.641;60440;40.82;94.2;0.599;13.77;242810207.88;257925889.2;11164.32
Itinga do Maranhão;2105427;itinguense;LUCIO FLAVIO ARAUJO OLIVEIRA;3583.423;22513;6.28;97.1;0.63;22.94;117056807.3;120441656.6;18721.59
Jatobá;2105450;jatobaense;CARLOS ROBERTO RAMOS DA SILVA;591.616;7471;12.63;97.9;0.561;42.74;44328055.15;44186613.08;7234.91
Jenipapo dos Vieiras;2105476;jenipapense;ARNOBIO DE ALMEIDA MARTINS;1962.362;17076;8.7;80.7;0.49;33.99;79854157.81;85800236.13;7344.62
João Lisboa;2105500;joãolisboense;VILSON SOARES FERREIRA LIMA;1137.104;24709;21.73;99.3;0.641;16.44;111687692.13;102308705.1;11431.55
